"REPORT_START_DATE","WEEK_NUMBER","ORDER_PLACED_AT_UTC","TRANSACTION_COMPLETED_AT_UTC","SELLER_ID","TRANSACTION_TYPE","TRANSACTION_MESSAGE","ORDER_ID","LISTING_TITLE","LISTING_DESCRIPTION","PRODUCT_CATEGORY","BUY_FORMAT","SALE_TYPE","QUANTITY_SOLD","SKU","COST_OF_GOODS","LIVESTREAM_ID","LIVESTREAM_TITLE","BUYER_NAME","BUYER_STATE","BUYER_COUNTRY","SHIPMENT_ID","TRANSACTION_CURRENCY","TRANSACTION_AMOUNT","BUYER_PAID","ORIGINAL_ITEM_PRICE","COUPON_COST","POST_COUPON_PRICE","SHIPPING_FEE","COMMISSION_FEE","PAYMENT_PROCESSING_FEE","TAX_ON_COMMISSION_FEE","TAX_ON_PAYMENT_PROCESSING_FEE","LEDGER_TRANSACTION_ID"
"2025-07-28 00:00:00",31,"2025-07-23 02:49:42","2025-07-28 17:02:42",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 11 - #16","452247205","SAK PAK GOLD EDITION Round 11 - ### SAK-PAK Break Envelope  ###","Your Choice of 1 remaining SAK PAK - (Could be MS69 GOLDEN EAGLE $5 NGC/PGCS OR MS70 NCG/PGCS Silver Eagle OR MS69 NCG/PGCS Silver Eagle) ","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","holdenshinault","VA","US","151865960","USD",6.29,9.00,9.00,0.00,9.00,1.79,0.36,0.56,0.00,0.00,"453874611"
"2025-07-28 00:00:00",31,"2025-07-23 02:46:01","2025-07-28 17:02:42",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 11 - #10","452241627","SAK PAK GOLD EDITION Round 11 - Gater Gram 1g .999 Silver Bar","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","holdenshinault","VA","US","151865960","USD",3.79,7.04,7.00,0.00,7.00,2.43,0.28,0.50,0.00,0.00,"453869002"
"2025-07-28 00:00:00",31,"2025-07-23 02:45:00","2025-07-28 17:02:42",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 11 - #9","452240042","SAK PAK GOLD EDITION Round 11 - Gater Gram 1g .999 Silver Bar","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","holdenshinault","VA","US","151865960","USD",6.07,11.95,7.00,0.00,7.00,0.00,0.28,0.65,0.00,0.00,"453867407"
"2025-07-28 00:00:00",31,"2025-07-23 00:30:50","2025-07-28 15:35:12",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 1 - #14","452027341","SAK PAK GOLD EDITION Round 1 - ### Valcambi 1g .999 Silver Bar  ### ","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","sseaberg15","RI","US","151799044","USD",5.04,10.99,6.00,0.00,6.00,0.10,0.24,0.62,0.00,0.00,"453650133"
"2025-07-28 00:00:00",31,"2025-07-23 00:35:46","2025-07-29 17:27:18",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 1 - #22","452034954","SAK PAK GOLD EDITION Round 1 - ### Gater Gram 1g Silver ###","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","el83","TX","US","151801562","USD",14.46,20.86,16.00,0.00,16.00,0.00,0.64,0.90,0.00,0.00,"453657902"
"2025-07-28 00:00:00",31,"2025-07-23 00:36:19","2025-07-31 14:15:00",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 1 - #23","452035796","SAK PAK GOLD EDITION Round 1 - ### Valcambi 1g .999 Silver Bar  ### ","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","silverback_metals","TX","US","151801854","USD",12.59,18.80,14.00,0.00,14.00,0.00,0.56,0.85,0.00,0.00,"453658792"
"2025-07-28 00:00:00",31,"2025-07-23 02:59:31","2025-07-28 21:46:54",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 12 - #2","452261572","SAK PAK GOLD EDITION Round 12 - Valcambi 1g .999 Silver Bar","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",22.92,27.06,25.00,0.00,25.00,0.00,1.00,1.08,0.00,0.00,"453889208"
"2025-07-28 00:00:00",31,"2025-07-23 02:48:39","2025-07-28 21:46:54",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 11 - #15","452245617","SAK PAK GOLD EDITION Round 11 - Gater Gram 1g .999 Silver Bar","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",6.20,7.58,7.00,0.00,7.00,0.00,0.28,0.52,0.00,0.00,"453873025"
"2025-07-28 00:00:00",31,"2025-07-23 02:44:26","2025-07-28 21:46:54",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 11 - #8","452239188","SAK PAK GOLD EDITION Round 11 - Gater Gram 1g .999 Silver Bar","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",6.20,7.58,7.00,0.00,7.00,0.00,0.28,0.52,0.00,0.00,"453866523"
"2025-07-28 00:00:00",31,"2025-07-23 02:33:16","2025-07-28 21:46:54",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 10 - #12","452222171","SAK PAK GOLD EDITION Round 10 - Valcambi 1g .999 Silver Bar","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",21.99,25.98,24.00,0.00,24.00,0.00,0.96,1.05,0.00,0.00,"453849439"
"2025-07-28 00:00:00",31,"2025-07-23 02:27:40","2025-07-28 21:46:54",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 10 - #3","452213575","SAK PAK GOLD EDITION Round 10 - ### Valcambi 1g .999 Silver Bar  ### ","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",9.91,11.91,11.00,0.00,11.00,0.00,0.44,0.65,0.00,0.00,"453840769"
"2025-07-28 00:00:00",31,"2025-07-23 01:08:46","2025-07-28 21:46:55",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 6 - #1","452087266","SAK PAK GOLD EDITION Round 6 - Valcambi 1g .999 Silver Bar","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",6.20,7.58,7.00,0.00,7.00,0.00,0.28,0.52,0.00,0.00,"453712011"
"2025-07-28 00:00:00",31,"2025-07-23 01:05:28","2025-07-28 21:46:55",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 5 - #5","452081923","SAK PAK GOLD EDITION Round 5 - ### SAK-PAK Break Envelope  ###","Your Choice of 1 remaining SAK PAK - (MS69 GOLDEN EAGLE $5 NGC/PGCS OR MS70 NCG/PGCS Silver Eagle OR MS69 NCG/PGCS Silver Eagle) ","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",4.34,5.41,5.00,0.00,5.00,0.00,0.20,0.46,0.00,0.00,"453706570"
"2025-07-28 00:00:00",31,"2025-07-23 01:00:06","2025-07-28 21:46:55",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 4 - #14","452073323","SAK PAK GOLD EDITION Round 4 - Gater Gram 1g .999 Silver Bar","","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",6.20,7.58,7.00,0.00,7.00,0.00,0.28,0.52,0.00,0.00,"453697911"
"2025-07-28 00:00:00",31,"2025-07-23 00:41:11","2025-07-28 21:46:55",20926743,"ORDER_EARNINGS","Earnings for selling a SAK PAK GOLD EDITION Round 1 - #30","452043359","SAK PAK GOLD EDITION Round 1 - ### SAK-PAK Break Envelope  ###","Your Choice of 1 remaining SAK PAK - (MS69 GOLDEN EAGLE $5 NGC/PGCS OR MS70 NCG/PGCS Silver Eagle OR MS69 NCG/PGCS Silver Eagle) ","Coins & Bullion","AUCTION","",1,"","","bbf23bf3-98e1-4023-89e1-cf09b3003f6f","SAK-PAK GOLD Edition","coreyg749","CA","US","151801003","USD",48.92,57.37,53.00,0.00,53.00,0.00,2.12,1.96,0.00,0.00,"453666527"
