"REPORT_START_DATE","WEEK_NUMBER","ORDER_PLACED_AT_UTC","TRANSACTION_COMPLETED_AT_UTC","SELLER_ID","TRANSACTION_TYPE","TRANSACTION_MESSAGE","ORDER_ID","LISTING_TITLE","LISTING_DESCRIPTION","PRODUCT_CATEGORY","BUY_FORMAT","SALE_TYPE","QUANTITY_SOLD","SKU","COST_OF_GOODS","LIVESTREAM_ID","LIVESTREAM_TITLE","BUYER_NAME","BUYER_STATE","BUYER_COUNTRY","SHIPMENT_ID","TRANSACTION_CURRENCY","TRANSACTION_AMOUNT","BUYER_PAID","ORIGINAL_ITEM_PRICE","COUPON_COST","POST_COUPON_PRICE","SHIPPING_FEE","COMMISSION_FEE","PAYMENT_PROCESSING_FEE","TAX_ON_COMMISSION_FEE","TAX_ON_PAYMENT_PROCESSING_FEE","LEDGER_TRANSACTION_ID"
"2025-10-06 00:00:00",41,"2025-10-11 11:58:38","2025-10-11 11:58:39",20926743,"ORDER_EARNINGS","Charged deduction of $4.35 for giveaway order HAAbatFbtBwWq5N7MHuFmx","576604523","Follow and Bookmark Sakima - Giveaway #3","","Stickers","GIVEAWAY","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","harrah","KS","US","187984192","USD",-4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,"571403089"
"2025-10-06 00:00:00",41,"2025-10-11 09:00:15","2025-10-11 12:00:59",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #7","576536792","Item in hand. #7","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","twunk_4_silver","KS","US","187962817","USD",213.70,234.35,230.00,0.00,230.00,0.00,9.20,7.10,0.00,0.00,"571333474"
"2025-10-06 00:00:00",41,"2025-10-11 09:14:11","2025-10-11 12:00:59",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #10","576541864","Item in hand. #10","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","twunk_4_silver","KS","US","187962817","USD",44.37,48.45,50.00,-2.00,48.00,0.00,1.92,1.71,0.00,0.00,"571338756"
"2025-10-06 00:00:00",41,"2025-10-11 10:37:51","2025-10-11 12:00:59",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #37","576572377","Item in hand. #37","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","twunk_4_silver","KS","US","187962817","USD",49.97,54.00,61.00,-7.00,54.00,0.00,2.16,1.87,0.00,0.00,"571369983"
"2025-10-06 00:00:00",41,"2025-10-11 10:04:48","2025-10-11 12:00:59",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #25","576560338","Item in hand. #25","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","twunk_4_silver","KS","US","187962817","USD",396.28,426.78,436.00,-10.00,426.00,0.00,17.04,12.68,0.00,0.00,"571357663"
"2025-10-06 00:00:00",41,"2025-10-11 10:44:47","2025-10-11 12:00:59",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #38","576574918","Item in hand. #38","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","twunk_4_silver","KS","US","187962817","USD",855.91,921.23,920.00,0.00,920.00,0.27,36.80,27.02,0.00,0.00,"571372558"
"2025-10-06 00:00:00",41,"2025-10-11 11:52:37","2025-10-11 12:11:41",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #57","576601835","Item in hand. #57","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","stevenzain","WI","US","187986388","USD",395.25,429.47,425.00,0.00,425.00,0.00,17.00,12.75,0.00,0.00,"571400250"
"2025-10-06 00:00:00",41,"2025-10-11 10:57:21","2025-10-11 12:12:32",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #43","576579508","Item in hand. #43","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","999rocksolid","TN","US","187975889","USD",20.64,22.90,25.00,-2.50,22.50,0.00,0.90,0.96,0.00,0.00,"571377159"
"2025-10-06 00:00:00",41,"2025-10-11 10:56:32","2025-10-11 12:12:32",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #42","576579247","Item in hand. #42","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","999rocksolid","TN","US","187975889","USD",22.84,29.55,25.00,0.00,25.00,0.00,1.00,1.16,0.00,0.00,"571376885"
"2025-10-06 00:00:00",41,"2025-10-11 10:59:03","2025-10-11 12:12:32",20926743,"ORDER_EARNINGS","Earnings for selling a Item in hand. #45","576580120","Item in hand. #45","No Cancellations - Auction is primarily for Gold and Bullion, occasionally other items are sold. Item being purchased is the one intended to be sold by the host. Either by being shown on the screen as the item, or verbally adjusted. - Bid Responsibly. Do not bid if you do not understand exactly what you are bidding on. Ask questions before bidding. - Item Condition is as shown. Whatnot may display ""Mint"" for all items even if not.","Coins & Bullion","AUCTION","",1,"","","a0c4e0e8-5ff4-4c8d-8fd5-c481c280510d","Popup Show - Gold, Silver, Mystery Packs","999rocksolid","TN","US","187975889","USD",83.49,90.00,100.00,-10.00,90.00,0.00,3.60,2.91,0.00,0.00,"571377783"
