"REPORT_START_DATE","WEEK_NUMBER","ORDER_PLACED_AT_UTC","TRANSACTION_COMPLETED_AT_UTC","SELLER_ID","TRANSACTION_TYPE","TRANSACTION_MESSAGE","ORDER_ID","LISTING_TITLE","LISTING_DESCRIPTION","PRODUCT_CATEGORY","BUY_FORMAT","SALE_TYPE","QUANTITY_SOLD","SKU","COST_OF_GOODS","LIVESTREAM_ID","LIVESTREAM_TITLE","BUYER_NAME","BUYER_STATE","BUYER_COUNTRY","SHIPMENT_ID","TRANSACTION_CURRENCY","TRANSACTION_AMOUNT","BUYER_PAID","ORIGINAL_ITEM_PRICE","COUPON_COST","POST_COUPON_PRICE","SHIPPING_FEE","COMMISSION_FEE","PAYMENT_PROCESSING_FEE","TAX_ON_COMMISSION_FEE","TAX_ON_PAYMENT_PROCESSING_FEE","LEDGER_TRANSACTION_ID"
"2025-09-01 00:00:00",36,"","2025-09-04 20:58:19",20926743,"SHIPPING_CHARGE","Whatnot platform charge for shipping adjustment #170443676.","","","","","","","","","","0a4f71b8-4363-496a-8992-882b6b423b3f","Sakima Coin Show Popup","","","","170443676","USD",-2.13,"","","","","","","","","","513029700"
"2025-09-01 00:00:00",36,"","2025-09-04 20:59:35",20926743,"SHIPPING_CHARGE","Whatnot platform charge for shipping adjustment #170444132.","","","","","","","","","","0a4f71b8-4363-496a-8992-882b6b423b3f","Sakima Coin Show Popup","","","","170444132","USD",-4.66,"","","","","","","","","","513031213"
"2025-09-01 00:00:00",36,"2025-08-29 07:57:19","2025-09-03 00:50:32",20926743,"ORDER_EARNINGS","Earnings for selling a Item in Hand #78","505700482","Item in Hand #78","Item in hand","Coins & Bullion","AUCTION","",1,"","","3c7ca4d1-44a4-4faa-8c6e-b1999c35d739","Sakima Pop up Auction","mvp0302","CA","US","167562513","USD",44.74,55.84,54.00,-5.40,48.60,0.00,1.94,1.92,0.00,0.00,"503879603"
"2025-09-01 00:00:00",36,"2025-08-29 07:29:45","2025-09-03 00:50:33",20926743,"ORDER_EARNINGS","Earnings for selling a Item in Hand #71","505689641","Item in Hand #71","Item in hand","Coins & Bullion","AUCTION","",1,"","","3c7ca4d1-44a4-4faa-8c6e-b1999c35d739","Sakima Pop up Auction","mvp0302","CA","US","167562513","USD",85.03,103.16,102.00,-10.00,92.00,0.00,3.68,3.29,0.00,0.00,"503868833"
"2025-09-01 00:00:00",36,"2025-08-29 07:17:22","2025-09-03 00:50:33",20926743,"ORDER_EARNINGS","Earnings for selling a Item in Hand #67","505684099","Item in Hand #67","Item in hand","Coins & Bullion","AUCTION","",1,"","","3c7ca4d1-44a4-4faa-8c6e-b1999c35d739","Sakima Pop up Auction","mvp0302","CA","US","167562513","USD",1.56,2.22,3.00,-1.00,2.00,0.00,0.08,0.36,0.00,0.00,"503863339"
"2025-09-01 00:00:00",36,"2025-08-29 07:14:26","2025-09-03 00:50:33",20926743,"ORDER_EARNINGS","Earnings for selling a Item in Hand #65","505682730","Item in Hand #65","Item in hand","Coins & Bullion","AUCTION","",1,"","","3c7ca4d1-44a4-4faa-8c6e-b1999c35d739","Sakima Pop up Auction","mvp0302","CA","US","167562513","USD",2.46,4.10,4.00,-1.00,3.00,0.00,0.12,0.42,0.00,0.00,"503861962"
"2025-09-01 00:00:00",36,"2025-08-29 07:12:56","2025-09-03 00:50:33",20926743,"ORDER_EARNINGS","Earnings for selling a Item in Hand #64","505682026","Item in Hand #64","Item in hand","Coins & Bullion","AUCTION","",1,"","","3c7ca4d1-44a4-4faa-8c6e-b1999c35d739","Sakima Pop up Auction","mvp0302","CA","US","167562513","USD",4.34,5.53,6.00,-1.00,5.00,0.00,0.20,0.46,0.00,0.00,"503861271"
"2025-09-01 00:00:00",36,"2025-08-29 06:46:09","2025-09-03 00:50:33",20926743,"ORDER_EARNINGS","Earnings for selling a Item in Hand #50","505669125","Item in Hand #50","Item in hand","Coins & Bullion","AUCTION","",1,"","","3c7ca4d1-44a4-4faa-8c6e-b1999c35d739","Sakima Pop up Auction","mvp0302","CA","US","167562513","USD",77.64,93.27,84.00,0.00,84.00,0.00,3.36,3.00,0.00,0.00,"503848477"
"2025-09-01 00:00:00",36,"2025-08-29 06:14:22","2025-09-03 00:50:33",20926743,"ORDER_EARNINGS","Earnings for selling a Item in Hand #35","505651139","Item in Hand #35","Item in hand","Coins & Bullion","AUCTION","",1,"","","3c7ca4d1-44a4-4faa-8c6e-b1999c35d739","Sakima Pop up Auction","mvp0302","CA","US","167562513","USD",5.27,6.64,6.00,0.00,6.00,0.00,0.24,0.49,0.00,0.00,"503830564"
"2025-09-01 00:00:00",36,"2025-08-29 05:13:02","2025-09-03 00:50:33",20926743,"ORDER_EARNINGS","Earnings for selling a Item in Hand #1","505604374","Item in Hand #1","Item in hand","Coins & Bullion","AUCTION","",1,"","","3c7ca4d1-44a4-4faa-8c6e-b1999c35d739","Sakima Pop up Auction","mvp0302","CA","US","167562513","USD",2.36,7.67,3.00,0.00,3.00,0.00,0.12,0.52,0.00,0.00,"503783707"
